CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
#1 LC3,4AP24h,3.384051558238620e+2,7.835826466676800e+2,2.514785334623180e+2,4.407065913164770e+2,1.533412558349370e+4,9.034422231249760e+2,1.823855479313430e+3,,,5.547033445778950e+3,8.442770522034579e+3,4.265014125772420e+3,3.642299391654700e+0,6.482298794680770e+10
#2 LC4,4AP24h,3.052484650503190e+2,2.810214361603240e+2,1.414587872754550e+1,1.860569478249500e+2,2.178018591702780e+3,4.408992622844250e+2,7.206383078989330e+2,8.333602019851939e+2,3.518470062987630e+2,7.248066720176630e+3,8.883130681406770e+3,4.436028209293080e+3,3.500178334885460e+1,1.127958129055130e+1
#3 LC5,4AP24h,1.909635106524260e+2,3.211001903826740e+2,4.060290208781520e+1,1.634267312873440e+2,1.088715825382260e+3,9.152201352980160e+1,2.113529784024760e+2,2.036047232662840e+2,,1.167422746734720e+4,1.165563440194430e+4,5.066997278585730e+3,9.941702097612470e+1,2.540754401091260e+2
#4 LC3,4AP24h,8.993576721176200e+1,4.527028818787110e+1,7.403371643037850e+0,3.794507389545070e+1,2.554771199489500e+2,9.321068535485171e+1,6.267126484053970e+1,1.051118545402780e+2,,2.705948379537680e+3,2.938929495343760e+3,1.044270236920990e+3,5.386840894414040e+0,1.939757205303960e+0
#5 LC4,4AP24h,1.979386064361140e+2,2.912851390329120e+2,1.290816281415050e+1,1.231718403920190e+2,3.176726487028070e+3,5.730992681466550e+1,1.696942687382160e+2,7.307367359454411e+1,,3.508491579114340e+3,5.872571232673420e+3,1.947249273352210e+3,2.646023717333650e+0,6.482298794680770e+10
#6 LC5,4AP24h,2.090085622021150e+2,1.383376461100470e+2,1.509325564640560e+1,2.569576278847010e+1,,,9.502876144287350e+1,2.028888300947900e+2,,2.949909018821950e+3,5.485730156210880e+3,1.478163486144380e+3,1.126324991021190e+2,2.898691391169940e+2
#7 LC3,4AP24h,1.383999796481460e+2,4.110395782946070e+2,9.939736473427670e+1,1.098711024374980e+2,2.180229308251430e+3,1.850830791834840e+2,2.836021978115620e+2,8.001740256371890e+1,,7.403418294318061e+3,1.021003830057820e+4,5.639831051583700e+3,3.561430093485390e+1,6.482298794680770e+10
#8 LC4,4AP24h,7.598100534573830e+2,4.898302323362040e+2,1.136414182855450e+2,2.484350828351310e+2,8.397973360992070e+2,5.367402462805930e+2,9.804958512822150e+2,5.680911593380370e+2,6.466452236524521e+1,,,,6.706014135389020e+2,1.346141799368130e+2
#9 LC5,4AP24h,,1.332947082107740e+3,,4.064559062525070e+2,1.464051932812080e+3,1.056157984792870e+3,2.245668046686940e+3,1.576086424011130e+3,1.958214602456470e+2,,,,3.548627327372010e+3,2.460965839415780e+3
#10 LC3,4AP24h,1.883711202986860e+2,3.033958809613000e+2,5.371006400102950e+1,4.097118849714680e+1,7.957645393007701e+2,8.509990867523080e+1,8.077685387466760e+1,1.480007379741670e+2,7.225103239089189e+1,1.717942256314770e+3,3.229837205975490e+3,1.357874856789570e+3,5.918767876742710e+1,1.311610032609170e+2
#11 LC4,4AP24h,4.849094872447990e+2,1.061610445650410e+3,4.836795928396710e+1,2.097848385940730e+2,7.671049778983499e+3,1.083381984818230e+3,1.009129344122420e+3,7.754486247433611e+2,2.440649595570540e+2,6.596263544703540e+3,8.484517969485000e+3,3.924871215192460e+3,6.403409959357530e+1,
#4 LC3,4AP24h,5.786060000000000e+2,1.305551850000000e+3,2.988275000000000e+1,9.381415000000000e+1,1.040635551295740e+3,6.237155627267570e+2,1.017358280192670e+3,,,1.096197729869760e+4,1.371414402979020e+4,4.493930424946750e+3,4.209435021912210e+2,1.829122534851620e+3
#5 LC4,4AP24h,2.885626687686180e+2,7.702477354520210e+2,1.487760423489620e+2,3.402447727934540e+2,4.049468937245600e+3,4.195246884753060e+2,5.376601186114621e+2,1.610989763826020e+2,1.636216175568300e+2,7.164748100014860e+3,6.856283970848880e+3,6.679987442036590e+3,1.270303487393240e+1,
#6 LC5,4AP24h,4.325626270365290e+2,6.138318289862530e+2,3.501995503365870e+1,2.114671996946050e+2,,,,4.024094963027280e+2,1.929096139040000e+2,,,,1.790118861618260e+2,7.972314402188771e+1
#7 LC3,4AP24h,6.186539976243850e+2,9.068844164174790e+2,1.160208519788110e+2,4.762453808922620e+2,4.158832689133000e+3,4.507563983289990e+2,6.117288723090570e+2,8.395688554899261e+2,3.154937464726090e+2,,,,3.418156199221740e+2,4.128530153939230e+3
#8 LC4,4AP24h,6.572311000000000e+2,1.048783150000000e+3,1.938989500000000e+2,3.732028500000000e+2,4.534442200000001e+3,6.911365500000001e+2,7.153079500000000e+2,5.060699500000000e+2,2.763164500000000e+2,,,,3.169569500000000e+2,9.420683000000000e+2
#9 LC5,4AP24h,3.782357038806280e+2,9.391624614553880e+2,1.731975773247550e+2,3.579666579224390e+2,1.038075520247620e+4,8.885528405285410e+2,1.286816136676390e+3,7.317844797634539e+2,1.859391290528680e+2,3.321429425478170e+3,5.130851086359960e+3,2.700685937745830e+3,9.189416517375990e+1,9.499320781582539e+2
#1 LC3,4AP24h,3.384051558238620e+2,7.835826466676800e+2,2.514785334623180e+2,4.407065913164770e+2,1.533412558349370e+4,9.034422231249760e+2,1.823855479313430e+3,,,5.547033445778950e+3,8.442770522034579e+3,4.265014125772420e+3,3.642299391654700e+0,
