CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
3-Jan,TTX-24h,2.53E+03,,3.25E+02,9.86E+02,1.10E+04,2.12E+03,3.62E+03,,1.59E+03,9.83E+03,1.42E+04,7.40E+03,7.30E+02,8.75E+03
4-Jan,TTX-24h,1.60E+03,1.76E+03,2.75E+02,5.13E+02,8.60E+03,1.37E+03,1.99E+03,2.38E+03,1.37E+03,5.42E+03,7.61E+03,3.94E+03,4.97E+02,1.12E+03
5-Jan,TTX-24h,2.16E+03,2.25E+03,1.76E+02,6.96E+02,5.59E+03,1.17E+03,1.52E+03,2.54E+03,1.05E+03,9.01E+03,1.45E+04,7.01E+03,4.39E+02,1.51E+04
3-Feb,TTX-24h,1.25E+03,2.53E+03,2.74E+02,7.93E+02,1.16E+04,1.37E+03,1.93E+03,3.61E+03,1.21E+03,7.94E+03,1.06E+04,4.54E+03,2.22E+02,1.03E+04
4-Feb,TTX-24h,7.77E+02,1.26E+03,2.19E+02,4.64E+02,9.09E+03,9.74E+02,1.40E+03,4.34E+02,1.68E+02,7.22E+03,1.18E+04,6.49E+03,6.73E+01,2.57E+02
5-Feb,TTX-24h,1.65E+03,1.92E+03,2.52E+02,4.98E+02,7.90E+03,8.04E+02,1.17E+03,1.55E+03,8.04E+02,1.07E+04,1.48E+04,8.72E+03,3.18E+02,1.88E+03
3-Mar,TTX-24h,1.14E+03,1.72E+03,3.98E+02,1.01E+03,1.44E+04,1.09E+03,1.99E+03,9.95E+02,7.54E+02,1.27E+04,1.76E+04,9.89E+03,2.12E+02,2.55E+00
4-Mar,TTX-24h,5.12E+02,1.60E+03,4.14E+02,8.59E+02,1.09E+04,4.97E+02,9.89E+02,3.12E+02,7.96E+01,1.04E+04,1.43E+04,8.87E+03,3.98E+00,
5-Mar,TTX-24h,3.25E+02,9.73E+02,2.19E+02,4.61E+02,5.82E+03,3.12E+02,5.64E+02,,9.87E+01,8.51E+03,1.24E+04,6.89E+03,,
4-May,TTX-24h,1.61E+03,2.41E+03,2.61E+02,7.23E+02,8.79E+03,1.36E+03,2.30E+03,2.49E+03,1.01E+03,8.27E+03,1.22E+04,6.88E+03,5.88E+02,5.84E+02
5-May,TTX-24h,4.45E+02,1.09E+03,2.29E+02,7.17E+02,8.15E+03,5.78E+02,8.89E+02,3.93E+02,1.65E+02,7.03E+03,9.12E+03,4.97E+03,4.53E+01,
3-Jun,TTX-24h,5.63E+02,8.53E+02,2.78E+02,3.83E+02,6.36E+03,6.44E+02,9.06E+02,3.48E+02,1.56E+02,5.25E+03,7.22E+03,5.61E+03,5.51E+01,1.11E+02
4-Jun,TTX-24h,4.35E+02,6.43E+02,1.48E+02,2.81E+02,3.62E+03,1.59E+02,4.20E+02,4.25E+02,6.42E+01,7.40E+03,9.25E+03,8.14E+03,4.20E+01,6.05E+02
5-Jun,TTX-24h,1.51E+03,1.48E+03,3.63E+01,2.77E+02,1.28E+03,1.72E+03,2.14E+03,2.93E+03,,1.71E+04,2.00E+04,,4.26E+02,5.30E+02
Control #1,Control,7.58E+02,5.38E+02,2.84E+02,4.24E+02,1.57E+04,1.13E+03,1.96E+03,5.78E+02,3.49E+01,,,,4.77E+00,
Control #10,Control,,,2.39E+02,2.97E+02,1.33E+04,,,,,4.57E+03,7.87E+03,3.85E+03,2.84E+02,8.43E+03
Control #11,Control,,,1.82E+02,3.36E+02,8.02E+03,,,,,5.54E+03,1.10E+04,4.68E+03,5.41E+02,5.40E+02
Control #12,Control,4.92E+02,6.61E+02,1.88E+02,3.25E+02,1.22E+04,1.41E+03,2.18E+03,4.24E+02,1.37E+02,3.04E+03,5.08E+03,3.01E+03,2.45E+01,5.52E+02
Control #13,Control,3.24E+02,5.96E+02,2.13E+02,2.20E+02,1.03E+04,9.32E+02,1.27E+03,3.94E+02,,3.15E+03,5.36E+03,3.31E+03,9.15E+00,9.61E+02
Control #14,Control,3.30E+02,6.21E+02,1.98E+02,2.14E+02,1.39E+04,8.95E+02,1.53E+03,2.80E+02,3.05E+02,5.40E+03,1.05E+04,5.76E+03,1.49E+02,2.44E+03
Control #15,Control,,,,,1.39E+04,1.53E+03,2.15E+03,,4.67E+02,3.19E+03,6.83E+03,3.11E+03,3.86E+02,9.15E+03
Control #2,Control,6.70E+02,4.79E+02,2.37E+02,3.44E+02,1.15E+04,1.02E+03,1.57E+03,6.31E+02,1.21E+02,6.33E+03,1.12E+04,7.10E+03,6.85E+00,
Control #3,Control,1.83E+02,3.67E+02,1.71E+02,1.33E+02,8.97E+03,6.90E+02,1.05E+03,1.68E+02,1.31E+02,1.48E+03,2.56E+03,1.34E+03,3.06E+00,4.29E+01
Control #4,Control,1.38E+02,4.57E+02,1.89E+02,2.00E+02,1.48E+04,1.18E+03,1.85E+03,,9.77E+01,3.86E+03,6.40E+03,4.20E+03,,
Control #5,Control,2.41E+02,7.78E+02,2.77E+02,3.67E+02,1.17E+04,9.08E+02,1.49E+03,,,5.31E+03,8.48E+03,5.27E+03,1.84E+01,1.72E+01
Control #6,Control,7.83E+02,5.46E+02,1.58E+02,1.60E+02,5.41E+03,7.98E+02,1.62E+03,,4.09E+02,4.25E+03,8.20E+03,3.62E+03,1.91E+02,9.70E+03
Control #7,Control,6.71E+02,8.61E+02,3.39E+02,3.30E+02,1.91E+04,1.86E+03,2.98E+03,5.65E+02,5.30E+02,4.57E+03,7.84E+03,4.13E+03,7.21E+01,4.46E+02
Control #8,Control,3.39E+02,2.52E+02,1.50E+02,1.45E+02,5.80E+03,3.05E+02,7.98E+02,4.29E+02,5.11E+01,5.52E+03,9.03E+03,6.04E+03,2.13E+01,
Control #9,Control,3.06E+02,6.02E+02,1.69E+02,2.66E+02,1.23E+04,9.51E+02,1.39E+03,,,5.77E+03,8.63E+03,4.79E+03,,1.69E+02
#1 LC3,4AP24h,3.38E+02,7.84E+02,2.51E+02,4.41E+02,1.53E+04,9.03E+02,1.82E+03,,,5.55E+03,8.44E+03,4.27E+03,3.64E+00,6.48E+10
