CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
Control #1,Control,7.58E+02,5.38E+02,2.84E+02,4.24E+02,1.57E+04,1.13E+03,1.96E+03,5.78E+02,3.49E+01,,,,4.77E+00,
Control #10,Control,,,2.39E+02,2.97E+02,1.33E+04,,,,,4.57E+03,7.87E+03,3.85E+03,2.84E+02,8.43E+03
Control #11,Control,,,1.82E+02,3.36E+02,8.02E+03,,,,,5.54E+03,1.10E+04,4.68E+03,5.41E+02,5.40E+02
Control #12,Control,4.92E+02,6.61E+02,1.88E+02,3.25E+02,1.22E+04,1.41E+03,2.18E+03,4.24E+02,1.37E+02,3.04E+03,5.08E+03,3.01E+03,2.45E+01,5.52E+02
Control #13,Control,3.24E+02,5.96E+02,2.13E+02,2.20E+02,1.03E+04,9.32E+02,1.27E+03,3.94E+02,,3.15E+03,5.36E+03,3.31E+03,9.15E+00,9.61E+02
Control #14,Control,3.30E+02,6.21E+02,1.98E+02,2.14E+02,1.39E+04,8.95E+02,1.53E+03,2.80E+02,3.05E+02,5.40E+03,1.05E+04,5.76E+03,1.49E+02,2.44E+03
Control #15,Control,,,,,1.39E+04,1.53E+03,2.15E+03,,4.67E+02,3.19E+03,6.83E+03,3.11E+03,3.86E+02,9.15E+03
Control #2,Control,6.70E+02,4.79E+02,2.37E+02,3.44E+02,1.15E+04,1.02E+03,1.57E+03,6.31E+02,1.21E+02,6.33E+03,1.12E+04,7.10E+03,6.85E+00,
Control #3,Control,1.83E+02,3.67E+02,1.71E+02,1.33E+02,8.97E+03,6.90E+02,1.05E+03,1.68E+02,1.31E+02,1.48E+03,2.56E+03,1.34E+03,3.06E+00,4.29E+01
Control #4,Control,1.38E+02,4.57E+02,1.89E+02,2.00E+02,1.48E+04,1.18E+03,1.85E+03,,9.77E+01,3.86E+03,6.40E+03,4.20E+03,,
Control #5,Control,2.41E+02,7.78E+02,2.77E+02,3.67E+02,1.17E+04,9.08E+02,1.49E+03,,,5.31E+03,8.48E+03,5.27E+03,1.84E+01,1.72E+01
Control #6,Control,7.83E+02,5.46E+02,1.58E+02,1.60E+02,5.41E+03,7.98E+02,1.62E+03,,4.09E+02,4.25E+03,8.20E+03,3.62E+03,1.91E+02,9.70E+03
Control #7,Control,6.71E+02,8.61E+02,3.39E+02,3.30E+02,1.91E+04,1.86E+03,2.98E+03,5.65E+02,5.30E+02,4.57E+03,7.84E+03,4.13E+03,7.21E+01,4.46E+02
Control #8,Control,3.39E+02,2.52E+02,1.50E+02,1.45E+02,5.80E+03,3.05E+02,7.98E+02,4.29E+02,5.11E+01,5.52E+03,9.03E+03,6.04E+03,2.13E+01,
Control #9,Control,3.06E+02,6.02E+02,1.69E+02,2.66E+02,1.23E+04,9.51E+02,1.39E+03,,,5.77E+03,8.63E+03,4.79E+03,,1.69E+02
