CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
1 LC3,24h-CONTROL,1.024277144213680e+3,1.510450214581200e+3,1.083163188406380e+2,2.558632397331020e+2,5.899565226456610e+3,2.183058721713880e+3,3.447022695141900e+3,,,6.373371383169100e+3,9.312225547168949e+3,4.487137585602450e+3,2.865759089676820e+2,5.293955293368910e+3
10 LC3,24h-CONTROL,6.737268464398299e+2,1.768984362507300e+3,4.520049237752320e+2,6.436270856665310e+2,2.336311462818930e+4,1.911173781559190e+3,3.126485913623180e+3,3.550068638539190e+2,3.514079324222380e+2,7.606231296234341e+3,1.166752393705490e+4,5.656528228043100e+3,2.320391629847660e+1,
11 LC4,24h-CONTROL,1.105859855867740e+3,1.683244765476490e+3,5.399849130696880e+1,2.255249049512450e+2,6.494992149002540e+3,1.866596735022800e+3,2.826296496738810e+3,,,2.927681386267930e+3,4.296309673383070e+3,2.100134138474740e+3,3.123215004236850e+2,2.588044714553280e+3
12 LC5,24h-CONTROL,3.279809552777570e+2,8.876032071360659e+2,2.086561105150750e+2,3.504398563909850e+2,1.278539824272240e+4,9.704438318384619e+2,1.712098562441560e+3,5.006333455582440e+2,1.941834067722870e+2,5.847824619805640e+3,8.030953951561170e+3,4.362309414303110e+3,3.218482697997300e+1,
13 LC3,24h-CONTROL,2.724796299227020e+2,5.108035955708720e+2,8.975844590612280e+1,4.245962981077650e+2,8.141190504648941e+3,5.755663894991090e+2,9.304883836478619e+2,9.695915011206080e+1,,5.303797855086490e+3,7.128164967776510e+3,3.545674529266890e+3,1.705381332127020e+1,
14 LC4,24h-CONTROL,6.343426457104010e+2,1.575447196422400e+3,4.847927331788360e+2,7.466182538640421e+2,2.456021569644860e+4,1.849992237705990e+3,2.585455755970680e+3,2.179055195089160e+2,3.963212650394470e+1,9.344108828072710e+3,1.186406868019540e+4,6.508879054070800e+3,2.774127323340680e+0,
15 LC5,24h-CONTROL,3.896929505506170e+2,9.815801774828310e+2,2.882405307219240e+2,5.691098421702590e+2,1.684272498929440e+4,1.384726583140470e+3,2.290672259490940e+3,1.872618895343470e+2,6.933495099862721e+1,7.563164246276771e+3,9.892099951217050e+3,5.205270417217620e+3,1.173977234714730e+1,1.200791921139500e+2
2 LC4,24h-CONTROL,1.146923800200940e+3,1.561121729000460e+3,3.293868648417340e+2,4.110502668257420e+2,1.492301839701680e+4,2.435780433435390e+3,2.923634992923090e+3,2.284438024347500e+3,,7.933693005116030e+3,1.138416812506950e+4,5.766207834173070e+3,1.872806791590170e+2,3.872554498745870e+2
3 LC5,24h-CONTROL,8.144030267922170e+2,1.253040579347840e+3,4.772406903253330e+2,3.401226878308960e+2,1.592820686515840e+4,1.891850357990880e+3,2.626018835712820e+3,1.654569531643020e+3,,4.605859928554680e+3,6.959506607599980e+3,4.066396874600690e+3,1.026552883697590e+2,8.823329094620320e+2
4 LC3,24h-CONTROL,,1.710995475737660e+3,4.694306621660400e+1,6.714705676042970e+1,3.717019136112680e+3,,4.144065077587120e+3,,,1.017549300849050e+3,1.762822878200920e+3,1.004011733832980e+3,5.173442895613620e+2,1.745356066077510e+3
5 LC4,24h-CONTROL,,1.404824087510850e+3,2.302070524465570e+2,,1.086739615100790e+4,1.531944195285920e+3,2.164707330199900e+3,2.239434463971370e+3,,,,,8.108550824929821e+1,6.337232307822910e+2
6 LC5,24h-CONTROL,5.692210528297480e+2,1.007341461218630e+3,3.279694861584190e+2,3.762845214606390e+2,1.727690282694850e+4,1.814914541224030e+3,2.485799909062250e+3,1.019629479965780e+3,,3.992697018318290e+3,6.375076622353430e+3,3.449434901793190e+3,6.055067726289050e+1,1.060141228816830e+2
7 LC3,24h-CONTROL,3.614971669570050e+2,1.002539291048100e+3,2.750520778376040e+2,3.242122268979600e+2,1.312805974490590e+4,1.172192120489230e+3,1.427026466668870e+3,4.773118852452070e+2,1.410980852224810e+2,4.563960731287301e+3,5.098048281487670e+3,3.284021858717080e+3,6.023376213422340e+0,
8 LC4,24h-CONTROL,7.508518332889741e+2,1.251221599055260e+3,2.542344502785340e+2,5.061053044765330e+2,1.364755738676570e+4,1.452519318783200e+3,1.754805645808490e+3,5.956000831421970e+2,1.644932804814060e+2,8.820681764716240e+3,1.097333267461320e+4,6.201221490943530e+3,3.047640649983740e+0,3.821725281233950e+1
9 LC5,24h-CONTROL,1.895593473272880e+2,5.063695622857750e+2,1.005191554548750e+2,1.597740333494920e+2,5.059123555759530e+3,3.756743838918920e+2,6.443339904811190e+2,1.033385837216500e+2,6.242487073095730e+1,3.283480520976280e+3,3.997834373641530e+3,2.164360028748420e+3,2.167858379053220e+1,
