CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
TEA #1,TEA-Acute,3.836502826995320e+2,6.232652962501760e+2,1.824244866417660e+2,1.832494216744680e+2,1.517402863902440e+4,1.479951045365850e+3,2.076670738048780e+3,1.002156143414630e+3,3.699039294634150e+2,1.774523179295250e+3,3.632228361038770e+3,1.566795299564930e+3,7.740371691147539e+1,1.084407379357690e+3
TEA #10,TEA-Acute,4.075306213539180e+2,8.069453659567440e+2,2.711248951790290e+2,3.094041146728290e+2,1.475901984390240e+4,1.194932600975610e+3,1.737445993658540e+3,4.736036975121950e+2,4.219463421951220e+2,1.536314800321440e+3,2.850796536976030e+3,1.436848355903540e+3,7.403586972377840e+1,2.252906473914580e+2
TEA #11,TEA-Acute,1.025813331270480e+2,2.053794584881130e+2,6.147832296809800e+1,7.495380719293160e+1,6.221329341463420e+3,2.054561691219510e+2,7.159244980487810e+1,,,2.403565025173840e+3,4.288241835114200e+3,1.718091591656410e+3,,
TEA #12,TEA-Acute,,,4.170775691797430e+2,4.365298666658430e+2,2.246406996585370e+4,,5.400509521951221e+3,,,1.776795314042610e+3,4.980231522767070e+3,1.963301886175910e+3,4.040930059313140e+2,1.286845631564860e+3
TEA #13,TEA-Acute,2.443790189783240e+2,4.128247040612660e+2,1.775194297840960e+2,2.247551685023950e+2,8.593798136585370e+3,7.675220551219510e+2,9.171266858536589e+2,2.779389689268290e+2,,7.081726184226930e+3,1.159365778298670e+4,5.875904769533750e+3,2.296734982651670e+1,
TEA #14,TEA-Acute,3.591468529487430e+2,3.553992023245880e+2,1.128386698010020e+2,1.161608464580500e+2,3.357547448780490e+3,7.824108795121950e+2,1.500646916097560e+3,1.731177620975610e+3,2.046813207804880e+2,1.210200827105600e+3,5.728529073444790e+3,1.241206123793620e+3,7.092552576176421e+1,2.004692997675700e+3
TEA #15,TEA-Acute,5.493768964334200e+2,9.716138732796250e+2,3.677088322570010e+2,4.899889877814920e+2,1.292277625365850e+4,8.535954848780490e+2,1.632470468780490e+3,2.433474346829270e+2,7.813637121951219e+1,3.968550472292410e+3,7.168021960544630e+3,4.363735285718890e+3,5.556066771840820e+1,3.357604864605770e+2
TEA #2,TEA-Acute,5.606201862375320e+2,9.624033401038459e+2,2.473466746913310e+2,2.827573634476750e+2,2.122068200000000e+4,2.210451402439020e+3,2.929638898048780e+3,5.168398687804880e+2,1.007525026341460e+2,4.400114593576960e+3,8.424235441265941e+3,4.803090549463720e+3,6.841411283523190e+1,5.426515737708800e+2
TEA #3,TEA-Acute,6.070826853535580e+2,5.026837223150350e+2,1.416825541187470e+2,1.713780696827150e+2,4.611153225853660e+3,1.463466895121950e+3,1.819401172682930e+3,1.463523660975610e+3,5.983472604878050e+2,6.558453247931970e+3,1.146389081680130e+4,5.845578129549010e+3,1.464400938385850e+2,9.722144121905499e+2
TEA #4,TEA-Acute,4.693370625486030e+2,7.969177525181181e+2,3.057673965996230e+2,2.906892680878870e+2,1.669925874634150e+4,1.483411871707320e+3,2.056974609756100e+3,9.688325239024390e+1,1.055194828780490e+2,1.904948883199590e+3,3.391190274237150e+3,2.353734642006540e+3,1.218322146400020e+1,7.331576459398430e+0
TEA #5,TEA-Acute,6.845797478639870e+1,3.177113414692370e+0,6.842562352630000e+1,6.234418630943010e+0,3.937823927317070e+2,1.286367920975610e+3,3.047709905365850e+1,,,1.129900100494050e+3,1.528282844379180e+3,7.761078875400470e+2,,
TEA #6,TEA-Acute,7.361819967913181e+2,2.838820802526120e+2,1.540930016903440e+2,1.967828905954190e+2,1.019128301463410e+4,1.005208025365850e+3,1.769581080487800e+3,8.986457082926830e+2,2.900013792682930e+1,6.545316296616470e+3,9.683266249134099e+3,4.631904746483590e+3,1.994948886929870e+2,
TEA #7,TEA-Acute,1.411671430023950e+2,1.198360974521720e+2,9.977290831165050e+1,1.303820613683960e+2,2.236411731219510e+3,4.866958281951220e+2,3.333248579512190e+2,,2.206373940000000e+2,3.724961052113540e+3,6.390815069025450e+3,2.905123495783470e+3,1.285807869492720e+1,
TEA #8,TEA-Acute,4.453798355064640e+2,3.301255970561910e+2,1.536027126266280e+2,1.978919442909810e+2,9.499894678048781e+3,6.546670892682930e+2,1.318776027804880e+3,1.689357390731710e+2,,3.607904627609750e+3,6.517156338914661e+3,3.324579471497140e+3,1.908416669279340e+2,5.563128221674910e+0
TEA #9,TEA-Acute,3.867563991334280e+2,2.234361988898860e+2,9.998213151527170e+1,3.092625493164450e+2,3.721155666829270e+3,3.766037088780490e+2,3.635386252682930e+2,3.821291571707320e+2,8.779371619512200e+1,,,,,1.380899856640930e+2
