CELL,TREATMENT,CAV1,CAV2,SHAL,BKKCa,CbNaV,Shab,Shaker,Shaw1,Shaw2,INX1,INX2,INX3,INX4,INX5
1-3,TTX-24h,2.531352072046180e+3,,3.251078040521540e+2,9.856848420770410e+2,1.099665051546640e+4,2.117438242112290e+3,3.621979714387410e+3,,1.588229709040520e+3,9.826318551638000e+3,1.417366619339350e+4,7.395526444002160e+3,7.300488887561190e+2,8.746193544030600e+3
1-4,TTX-24h,1.599777692837210e+3,1.761156587618020e+3,2.745593473978720e+2,5.130453677209219e+2,8.602821309643139e+3,1.371604251745780e+3,1.987454665805320e+3,2.375233290767010e+3,1.365919246903440e+3,5.417290245225330e+3,7.605492940503680e+3,3.941761876542440e+3,4.969378654798810e+2,1.124106033760210e+3
1-5,TTX-24h,2.162061493889480e+3,2.254661088618590e+3,1.758626443013460e+2,6.955802833328920e+2,5.591514219784170e+3,1.174932083582110e+3,1.518836522763430e+3,2.544350322141000e+3,1.048087251552020e+3,9.006977278003930e+3,1.447249591776410e+4,7.005490716927080e+3,4.391188362832130e+2,1.513590582218840e+4
2-3,TTX-24h,1.245214536976940e+3,2.526709578810970e+3,2.739004381548770e+2,7.927444030280699e+2,1.156921103046120e+4,1.369782729822520e+3,1.926171965499410e+3,3.606476122771120e+3,1.206709217662600e+3,7.938242567385371e+3,1.060033534217960e+4,4.541566767771480e+3,2.223410624570200e+2,1.034305195020290e+4
2-4,TTX-24h,7.769462841177499e+2,1.264956816422880e+3,2.190450982123560e+2,4.640758228412700e+2,9.090846872198221e+3,9.744016506179410e+2,1.396057147072440e+3,4.344375065653830e+2,1.683694558980550e+2,7.220007106028320e+3,1.177046691828720e+4,6.486799731723890e+3,6.734548098830450e+1,2.566346786430130e+2
2-5,TTX-24h,1.654393611278970e+3,1.924860434297950e+3,2.518003263280850e+2,4.980217558681730e+2,7.902797938651470e+3,8.043147902636290e+2,1.171961168258430e+3,1.550356242855370e+3,8.039606782716109e+2,1.067401823467360e+4,1.477646104828990e+4,8.715584926965261e+3,3.175559144555560e+2,1.883656003310250e+3
3-3,TTX-24h,1.138485235288860e+3,1.717266833047360e+3,3.982303659064020e+2,1.014898440006750e+3,1.435421793775320e+4,1.092320620117680e+3,1.994754528586110e+3,9.950822427938650e+2,7.539482779546600e+2,1.273599736794190e+4,1.758364556444210e+4,9.893905848161050e+3,2.118243948590740e+2,2.545184930650450e+0
3-4,TTX-24h,5.115480275694380e+2,1.597049298362420e+3,4.142428293550730e+2,8.590974523826880e+2,1.092828238201180e+4,4.974504047717340e+2,9.892208558112930e+2,3.116212052793920e+2,7.963536866707770e+1,1.037929586878250e+4,1.425566494594900e+4,8.872699941726670e+3,3.977964863105660e+0,
3-5,TTX-24h,3.248541982974310e+2,9.731194113061880e+2,2.186929121291890e+2,4.607579116643110e+2,5.815002555060710e+3,3.116150717299520e+2,5.636312796161800e+2,,9.866304608146371e+1,8.513502018764109e+3,1.243990523174260e+4,6.889206570015470e+3,,
5-4,TTX-24h,1.612348412930970e+3,2.408095233722960e+3,2.614081166695630e+2,7.233241260281790e+2,8.793197549751699e+3,1.362602945555320e+3,2.296871483045760e+3,2.492709844729370e+3,1.013344188779510e+3,8.274353685417480e+3,1.218399173995910e+4,6.877635377381120e+3,5.876704497828810e+2,5.839671041553560e+2
5-5,TTX-24h,4.448597406188510e+2,1.091710433838220e+3,2.287134656665150e+2,7.166756415010730e+2,8.145599026215270e+3,5.781526308053600e+2,8.890023178873259e+2,3.925318508881530e+2,1.654187123956310e+2,7.026106187597240e+3,9.119510242287510e+3,4.973738782884160e+3,4.527658526250940e+1,
6-3,TTX-24h,5.632897173584941e+2,8.526080563145469e+2,2.779375428809800e+2,3.832455662921210e+2,6.363255608039320e+3,6.438934997913570e+2,9.061465627502930e+2,3.478899934428360e+2,1.563909085249300e+2,5.249986329747681e+3,7.216882488060850e+3,5.606336558479500e+3,5.514167548027090e+1,1.113575440078340e+2
6-4,TTX-24h,4.348705547378400e+2,6.433101047831010e+2,1.480549040914470e+2,2.808902269346330e+2,3.621366984861020e+3,1.586910992544200e+2,4.196230172013210e+2,4.249717504333600e+2,6.420787424514840e+1,7.395505135865710e+3,9.252406625197280e+3,8.142047746379680e+3,4.197997276172920e+1,6.053939351540110e+2
6-5,TTX-24h,1.508352759376180e+3,1.475359331990190e+3,3.631131765162220e+1,2.773165278132740e+2,1.283455295581990e+3,1.715469662377710e+3,2.135434456971590e+3,2.929152859070210e+3,,1.705583280288810e+4,1.997295242468820e+4,,4.264659690979280e+2,5.303260863102770e+2
