"","Experiment","Recording","in.ion","in.meta"
"1","190916",4,TRUE,FALSE
"2","190916",6,TRUE,FALSE
"3","190916a",7,TRUE,FALSE
"4","190916a",5,TRUE,FALSE
"5","190904",36,FALSE,TRUE
"6","190915",6,FALSE,TRUE
"7","190915",35,FALSE,TRUE
"8","190916a",4,FALSE,TRUE
"9","190916a",6,FALSE,TRUE
"10","190917a",6,FALSE,TRUE
"11","190917a",8,FALSE,TRUE
"12","190917",8,FALSE,TRUE
"13","190924a",7,FALSE,TRUE
"14","191002",22,FALSE,TRUE
"15","190926",31,FALSE,TRUE
"16","190927",3,FALSE,TRUE
"17","190927",15,FALSE,TRUE
"18","190927",17,FALSE,TRUE
"19","190927a",6,FALSE,TRUE
"20","190930a",22,FALSE,TRUE
"21","190930a",23,FALSE,TRUE
"22","191001",6,FALSE,TRUE
