"","Experiment","Recording","in.ion","in.meta"
"1","190916",3,TRUE,FALSE
"2","190916",5,TRUE,FALSE
"3","190916a",6,TRUE,FALSE
"4","190916a",8,TRUE,FALSE
"5","190903",28,FALSE,TRUE
"6","190915",5,FALSE,TRUE
"7","190916a",3,FALSE,TRUE
"8","190916a",5,FALSE,TRUE
"9","190917a",4,FALSE,TRUE
"10","190917a",5,FALSE,TRUE
"11","190917a",7,FALSE,TRUE
"12","190917",7,FALSE,TRUE
"13","190924a",5,FALSE,TRUE
"14","191002",20,FALSE,TRUE
"15","191002",21,FALSE,TRUE
"16","190927",14,FALSE,TRUE
"17","190927a",5,FALSE,TRUE
"18","190927a",30,FALSE,TRUE
"19","190927a",31,FALSE,TRUE
"20","190927a",33,FALSE,TRUE
"21","190927a",40,FALSE,TRUE
"22","190930a",20,FALSE,TRUE
"23","191001",4,FALSE,TRUE
"24","191001",5,FALSE,TRUE
