Experiment,Page,Recording,Type,Pharm,Condition,Include,Notes,In4,In9
190122,281,4,tevc_40,none,Baseline,,,4,3
190122,281,5,tevc_50,none,Baseline,,,4,3
190122,281,6,tevc_60,none,Baseline,,,4,3
190122,281,7,tevc_70,none,Baseline,,,4,3
190122,281,8,tevc_80,none,Baseline,,,4,3
190122,281,9,htk,none,Baseline,,,4,3
190122,281,10,a,none,Baseline,,,4,3
190122,281,11,htkc,none,Baseline,,,4,3
190122,281,12,ac,none,Baseline,,,4,3
190122,281,13,h,none,Baseline,,,4,3
190122,281,14,h10,none,Baseline,,,4,3
190122,281,15,fi,none,Baseline,,,4,3
190122,281,16,fi_50,none,Baseline,,,4,3
190122,281,17,igj_50,none,Baseline,,,4,3
190122,281,18,igj,none,Baseline,,,4,3
190122,281,19,epsp,none,Baseline,,,4,3
190122,281,20,epsp_50,none,Baseline,,,4,3
190122,281,21,gf_wash,,,,,4,3
190122,281,22,gf_tea,tea,,,,4,3
190122,281,23,gf_tea,tea,,,,4,3
190122,281,24,gf_tea,tea,,,,4,3
190122,281,25,gf_tea,tea,,,,4,3
190122,281,26,gf_tea,tea,,,,4,3
190122,281,27,gf_tea,tea,,,,4,3
190122,281,28,gf_tea,tea,,,,4,3
190122,281,29,gf_tea,tea,,,,4,3
190122,281,30,gf_tea,tea,,,,4,3
190122,281,31,gf_tea,tea,,,,4,3
190122,281,32,gf_tea,tea,,,,4,3
190122,281,33,gf_tea,tea,,,,4,3
190122,281,34,gf_tea,tea,,,,4,3
190122,281,35,gf_tea,tea,,,,4,3
190122,281,36,gf_suc,tea,,,,4,3
190122,281,37,gf_suc,tea,,,,4,3
190122,281,38,gf_suc,tea,,,,4,3
190122,281,39,gf_suc,tea,,,,4,3
190122,281,40,tevc_40,tea,Compensated,,,4,3
190122,281,41,tevc_50,tea,Compensated,,,4,3
190122,281,42,tevc_60,tea,Compensated,,,4,3
190122,281,43,tevc_70,tea,Compensated,,,4,3
190122,281,44,tevc_80,tea,Compensated,,,4,3
190122,281,45,htk,tea,Compensated,,,4,3
190122,281,46,a,tea,Compensated,,,4,3
190122,281,47,htkc,tea,Compensated,,,4,3
190122,281,48,ac,tea,Compensated,,,4,3
190122,281,49,h,tea,Compensated,,,4,3
190122,281,50,h10,tea,Compensated,,,4,3
190122,281,51,h10,tea,Compensated,,,4,3
190122,281,52,,tea,Compensated,,,4,3
190122,281,53,epsp,tea,Compensated,,,4,3
190122,281,54,epsp_50,tea,Compensated,,,4,3
190122,281,55,igj_50,tea,Compensated,,,4,3
190122,281,56,igj,tea,Compensated,,,4,3
190122,281,57,fi,tea,Compensated,,,4,3
190122,281,58,fi_50,tea,Compensated,,,4,3
190115,276,0,gf,,,,,4,3
190115,276,1,,,,,,4,3
190115,276,2,,,,,,4,3
