"","Experiment","Recording","Type"
"1","190115",6,"IHTK"
"2","190122",6,"IHTK"
"3","190206",6,"IHTK"
"4","190220",6,"IHTK"
"5","190225",6,"IHTK"
"6","190225a",6,"IHTK"
"7","190306",6,"IHTK"
"8","190308",6,"IHTK"
"9","190312",6,"IHTK"
"10","190702",6,"IHTK"
"11","190702a",6,"IHTK"
"12","190711",6,"IHTK"
"13","190715",6,"IHTK"
"14","190115",6,"IA"
"15","190122",6,"IA"
"16","190206",6,"IA"
"17","190220",6,"IA"
"18","190225",6,"IA"
"19","190225a",6,"IA"
"20","190306",6,"IA"
"21","190308",6,"IA"
"22","190312",6,"IA"
"23","190702",6,"IA"
"24","190702a",6,"IA"
"25","190711",6,"IA"
"26","190715",6,"IA"
"27","190716",6,"IA"
"28","190716a",6,"IA"
"29","190206",6,"TECC"
"30","190220",6,"TECC"
"31","190225",6,"TECC"
"32","190225a",6,"TECC"
"33","190306",6,"TECC"
"34","190308",6,"TECC"
"35","190312",6,"TECC"
"36","190702",6,"TECC"
"37","190702a",6,"TECC"
"38","190711",6,"TECC"
"39","190715",6,"TECC"
"40","190716",6,"TECC"
"41","190716a",6,"TECC"
"42","190206",6,"TEVC"
"43","190220",6,"TEVC"
"44","190225",6,"TEVC"
"45","190225a",6,"TEVC"
"46","190306",6,"TEVC"
"47","190308",6,"TEVC"
"48","190312",6,"TEVC"
"49","190702",6,"TEVC"
"50","190702a",6,"TEVC"
"51","190711",6,"TEVC"
"52","190715",6,"TEVC"
"53","190716",6,"TEVC"
"54","190716a",6,"TEVC"
