"","Experiment","Recording","Type"
"1","190115",11,"IHTK"
"2","190115",13,"IHTK"
"3","190115",39,"IHTK"
"4","190115",41,"IHTK"
"5","190115",75,"IHTK"
"6","190115",76,"IHTK"
"7","190122",80,"IHTK"
"8","190122",70,"IHTK"
"9","190122",45,"IHTK"
"10","190122",10,"IHTK"
"11","190225a",29,"IHTK"
"12","190206",60,"IHTK"
"13","190206",37,"IHTK"
"14","190206",11,"IHTK"
"15","190225",20,"IHTK"
"16","190306",60,"IHTK"
"17","190225a",16,"IHTK"
"18","190312",22,"IHTK"
"19","190308",15,"IHTK"
"20","190716a",8,"IHTK"
"21","190716",11,"IHTK"
"22","190716",19,"IHTK"
"23","190716",21,"IHTK"
"24","190715",7,"IHTK"
"25","190715",23,"IHTK"
"26","190715",21,"IHTK"
"27","190711",15,"IHTK"
"28","190711",16,"IHTK"
"29","190702a",12,"IHTK"
"30","190702a",10,"IHTK"
"31","NA.abf",NA,"IHTK"
"32","0.abf",NA,"IHTK"
"33","190115",12,"IA"
"34","190115",15,"IA"
"35","190115",40,"IA"
"36","190115",42,"IA"
"37","190115",77,"IA"
"38","190115",78,"IA"
"39","190122",81,"IA"
"40","190122",46,"IA"
"41","190122",11,"IA"
"42","190225a",30,"IA"
"43","190206",60,"IA"
"44","190206",39,"IA"
"45","190206",13,"IA"
"46","190225",21,"IA"
"47","190306",61,"IA"
"48","190225a",17,"IA"
"49","190312",23,"IA"
"50","190308",16,"IA"
"51","190716a",7,"IA"
"52","190716a",9,"IA"
"53","190716",8,"IA"
"54","190716",12,"IA"
"55","190716",20,"IA"
"56","190716",22,"IA"
"57","190715",8,"IA"
"58","190715",22,"IA"
"59","190711",14,"IA"
"60","190711",17,"IA"
"61","190702a",13,"IA"
"62","190702a",11,"IA"
"63","NA.abf",NA,"IA"
"64","0.abf",NA,"IA"
"65","190115",7,"TECC"
"66","190115",8,"TECC"
"67","190115",9,"TECC"
"68","190115",10,"TECC"
"69","190115",45,"TECC"
"70","190115",46,"TECC"
"71","190115",47,"TECC"
"72","190115",48,"TECC"
"73","190115",49,"TECC"
"74","190716a",10,"TECC"
"75","190716",10,"TECC"
"76","190716",24,"TECC"
"77","190711",11,"TECC"
"78","190306",57,"TECC"
"79","190306",58,"TECC"
"80","190306",59,"TECC"
"81","190225a",20,"TECC"
"82","190225a",21,"TECC"
"83","190225a",22,"TECC"
"84","190225a",33,"TECC"
"85","190225a",34,"TECC"
"86","190225a",35,"TECC"
"87","190225",26,"TECC"
"88","190225",27,"TECC"
"89","190225",28,"TECC"
"90","190220",20,"TECC"
"91","190206",17,"TECC"
"92","190206",16,"TECC"
"93","190206",15,"TECC"
"94","190206",45,"TECC"
"95","190206",18,"TECC"
"96","190206",19,"TECC"
"97","190206",44,"TECC"
"98","190206",43,"TECC"
"99","190206",42,"TECC"
"100","190206",41,"TECC"
"101","190122",41,"TECC"
"102","190122",42,"TECC"
"103","190122",43,"TECC"
"104","190122",44,"TECC"
"105","190122",65,"TECC"
"106","190122",66,"TECC"
"107","190122",67,"TECC"
"108","190122",68,"TECC"
"109","190122",69,"TECC"
"110","190122",5,"TECC"
"111","190122",7,"TECC"
"112","190122",8,"TECC"
"113","190122",9,"TECC"
"114","190122",40,"TECC"
"115","190122",4,"TECC"
"116","190115",7,"TEVC"
"117","190115",8,"TEVC"
"118","190115",9,"TEVC"
"119","190115",10,"TEVC"
"120","190115",45,"TEVC"
"121","190115",46,"TEVC"
"122","190115",47,"TEVC"
"123","190115",48,"TEVC"
"124","190115",49,"TEVC"
"125","190716a",10,"TEVC"
"126","190716",10,"TEVC"
"127","190716",24,"TEVC"
"128","190711",11,"TEVC"
"129","190306",57,"TEVC"
"130","190306",58,"TEVC"
"131","190306",59,"TEVC"
"132","190225a",20,"TEVC"
"133","190225a",21,"TEVC"
"134","190225a",22,"TEVC"
"135","190225a",33,"TEVC"
"136","190225a",34,"TEVC"
"137","190225a",35,"TEVC"
"138","190225",26,"TEVC"
"139","190225",27,"TEVC"
"140","190225",28,"TEVC"
"141","190220",20,"TEVC"
"142","190206",17,"TEVC"
"143","190206",16,"TEVC"
"144","190206",15,"TEVC"
"145","190206",45,"TEVC"
"146","190206",18,"TEVC"
"147","190206",19,"TEVC"
"148","190206",44,"TEVC"
"149","190206",43,"TEVC"
"150","190206",42,"TEVC"
"151","190206",41,"TEVC"
"152","190122",41,"TEVC"
"153","190122",42,"TEVC"
"154","190122",43,"TEVC"
"155","190122",44,"TEVC"
"156","190122",65,"TEVC"
"157","190122",66,"TEVC"
"158","190122",67,"TEVC"
"159","190122",68,"TEVC"
"160","190122",69,"TEVC"
"161","190122",5,"TEVC"
"162","190122",7,"TEVC"
"163","190122",8,"TEVC"
"164","190122",9,"TEVC"
"165","190122",40,"TEVC"
"166","190122",4,"TEVC"
